Point,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
24,Bolivia,563110052,612518907.2,669722540.4,721142960.4,812543073.8,908874535.9,994044552.9,1084059818,908874535.9,964615702.6,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606678,5594118401,5422656262,6169481549,5377277408,3958338768,4323623593,4597615614,4715978706,4867582765,5343259489,5643864513,5734703516,5981218963,6715164450,7396952018,7925733799,8497499276,8285061591,8397858206,8141513227,7905485150,8082396474,8773451753,9549196302,11451297466,13120517443,16675015771,17339992191,19786162178
25,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255802465,1866572993,2786045392,3671816538,4116699576,4685729743,5505984456,5748990555,6651226179,8370020196,10022840635,10763567750,12254412802,15226731980,18500599161,17042403580,16887610020
26,Botswana,30370359.94,32921469.83,35594060.47,38145170.36,41789615.45,45919083.11,51658968.5,58868124.55,66498672.18,77768447.15,96298879.92,126993011.7,165279585.2,244164263.1,306259195.7,354932427.9,371839078.4,451603321.3,590519317.2,819877303,1061196898,1073476687,1014611679,1172151319,1241178757,1114529692,1392708926,1965157809,2643958453,3083647482,3791585992,3942012714,4145924377,4160296985,4339516122,4773730292,4800126339,5179680522,5190543764,5866964491,5632391130,6033896673,6091305297,8086707335,10048660850,10255448713,11255175568,12376435510,13473345713,11473685551,14857275330
27,Brazil,0,0,0,0,0,21790035102,27062716511,30591834045,33875881906,37458898265,42327600116,49204456712,58539008796,79279057736,1.05E+11,1.24E+11,1.53E+11,1.76E+11,2.01E+11,2.25E+11,2.35E+11,2.64E+11,2.82E+11,2.03E+11,2.09E+11,2.23E+11,2.68E+11,2.94E+11,3.3E+11,4.26E+11,4.62E+11,4.07E+11,3.91E+11,4.38E+11,5.46E+11,7.69E+11,8.4E+11,8.71E+11,8.44E+11,5.87E+11,6.45E+11,5.54E+11,5.04E+11,5.52E+11,6.64E+11,8.82E+11,1.09E+12,1.37E+12,1.65E+12,1.59E+12,2.09E+12
28,Brunei Darussalam,0,0,0,0,0,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467990,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153318,5601090584,5843329102,6557333067,7872333197,9531402830,11470703002,12247627895,14393099069,10732435034,0
29,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039628408,20056237269,19804095243,16959385327,17411160328,17562123540,20261212354,28429026656,23002459532,21746813404,20726300435,10943548724,10371900499,10831999517,9704877673,13069087677,8890314315,10053468883,13060786261,13228374665,12903546576,13868600612,15979194408,20668176666,25283228736,28895083540,33209188725,42113655820,51824867627,48568714012,47714490183
30,Burkina Faso,330442942.1,350247388,379567187.5,394040754.9,410321786.5,419846567.9,431825260.3,449198062.9,461770182.8,478760134.3,456247098.6,479323894,578177124.5,675346797.1,751772652.8,939941531.7,976426634.8,1131269492,1475687366,1748494123,1928533241,1775851758,1754376729,1600261928,1459869022,1552503402,2036338146,2369847238,2616051319,2615598479,3101309668,3135055824,2240264677,2332018011,1895306626,2379510501,2586563407,2447666540,2804910748,3014661262,2610945549,2812839821,3289645662,4270385659,5108983827,5427438071,5771194545,6766986321,8045823005,8140859746,8820312674
31,Burundi,195999989.8,202999992.3,213500006.4,232749998.1,260750008.3,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612.1,925030590.3,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,709062400.3,662371289.2,628096157.3,595002974,664493918.7,795882875.1,918823350.8,979785001.9,1168900171,1330790160,1610544922
32,Cambodia,637142864.5,642857135.5,660000007.3,728571435.9,782857128.2,868571428.6,914285714.3,962857135.5,1065714249,978873268.5,718401145.1,969911437.6,505549460.1,702899173.6,588443893.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533727592,2791435219,3441205624,3506695723,3443413332,3120425503,3517242477,3654031716,3979813388,4284028138,4658246907,5337833256,6293046162,7274424519,8639164917,10351829066,10457584204,11343440018
33,Cameroon,618740961.8,657597317,699373631,723624330.7,782384403.8,814140009.3,853268764.3,934078958.2,1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770609,3076592634,3366368801,4409920571,5811443663,6740757493,7636346056,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434368416,11396311478,13532152215,9220467286,8733227081,9732338099,9840550361,9629642600,10486456218,10075040331,9598224206,10879778069,13621809492,15775357312,16587863738,17956985511,20685921877,23735512829,22185977547,22393529278
34,Canada,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,86303952531,97473757180,1.11E+11,1.29E+11,1.58E+11,1.71E+11,2.03E+11,2.08E+11,2.15E+11,2.39E+11,2.69E+11,3.01E+11,3.08E+11,3.34E+11,3.47E+11,3.56E+11,3.69E+11,4.22E+11,4.98E+11,5.56E+11,5.83E+11,5.98E+11,5.8E+11,5.64E+11,5.64E+11,5.91E+11,6.14E+11,6.38E+11,6.17E+11,6.61E+11,7.25E+11,7.15E+11,7.35E+11,8.66E+11,9.92E+11,1.13E+12,1.28E+12,1.42E+12,1.5E+12,1.34E+12,1.57E+12
35,Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213539850.9,259766538.1,291889409.2,295200190.8,338690985.3,351313578.3,393844570.6,363247416.9,410804606.1,490609345.1,502176380.2,506433841.3,539517920.1,583442832,531386031.9,550199630,616209203.9,797314309.7,924644653.1,999332627.4,1107887282,1331215014,1550552392,1586929006,1648089240
36,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012444041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Central African Republic,112155641.5,123134637.5,124482803,129379152.5,142025127.7,149453223.6,157148647.1,163223981.4,192283714.6,188227873.3,188223390.8,200183245.4,229901582.1,271184521,281399492.6,378661612.8,451153399.8,507299564.2,610580962.1,700766892.2,797050266.1,694807309.9,748315219,658681119.2,637823121.7,864853641.5,1120165774,1211766668,1282893967,1268668131,1487510977,1404323260,1434151468,1298847603,852998900.6,1121907256,1070076555,1003264949,1047204550,1051323697,959413050.6,967526420.2,1041975238,1139211629,1269621729,1350047285,1476870078,1696340453,1982983855,1980151889,2013014939
38,Chad,313642554.8,334039075.7,357703897,371837875.4,392322339.7,413899564.9,430735619.8,448273657.9,455288951.6,472090666,467058435.5,498651345.6,584369367.6,647202918.1,652534606.1,864605735.8,866046752.3,935363080.5,1113924369,1004319537,1033005118,876942247.5,834373041.1,832418069.2,919107239.1,1033074223,1067831033,1163432899,1482603366,1433692150,1738610590,1877144030,1881853364,1463316169,1179847943,1445915335,1607352991,1544687915,1744651916,1536917962,1385050964,1709344296,1987873833,2736667928,4414969334,5301938221,6099009023,7016297534,8357142857,6838983051,7587673161
39,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,0,0,0
40,Chile,4211762522,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,75210511780,68568293067,67265403373,73989608415,95652734479,1.18E+11,1.47E+11,1.64E+11,1.71E+11,1.61E+11,2.03E+11
41,China,61377930682,50100934916,46464003927,50280424169,58613239133,69709152023,75879433528,72057026116,69993499400,78718820946,91506213646,98562021764,1.12E+11,1.37E+11,1.42E+11,1.61E+11,1.52E+11,1.72E+11,1.48E+11,1.77E+11,1.89E+11,1.94E+11,2.03E+11,2.28E+11,2.57E+11,3.07E+11,2.98E+11,2.7E+11,3.1E+11,3.44E+11,3.57E+11,3.79E+11,4.23E+11,4.41E+11,5.59E+11,7.28E+11,8.56E+11,9.53E+11,1.02E+12,1.08E+12,1.2E+12,1.32E+12,1.45E+12,1.64E+12,1.93E+12,2.26E+12,2.71E+12,3.49E+12,4.52E+12,4.99E+12,5.88E+12
42,Colombia,4040948306,4552914126,4968598035,4838841458,5992169472,5790247619,5452762963,5727208180,5918467519,6405440200,7198373469,7820367893,8671371951,10315774588,12370045405,13098633902,15341403660,19470978268,23263511958,27940389361,33400712095,36388389129,38968019453,38729822782,38253120738,34894419525,34942483688,36373312083,39212545681,39540083646,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,1.07E+11,98443743191,86186156584,1E+11,98745443240,98229102139,94916590096,1.17E+11,1.47E+11,1.63E+11,2.07E+11,2.45E+11,2.36E+11,2.88E+11
43,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123504939.6,114271518.8,107089063.4,111519324.8,107489330.7,114490238.9,162487294.8,196433030.5,207475649.4,198732313.6,250033056.6,246822116.5,266189632.4,263564577.4,185759948.9,231893813.7,230493348.3,212098229.6,215393481.9,222580743,201900820.3,220115318.9,251163102.1,324471209,362420491.2,387036433.2,403177193.6,464949228,530138454.7,535336307.7,541097513
44,Congo; Dem. Rep.,3427325564,3132154296,3721572127,6143550703,2882158383,4043901724,4532660145,3384063360,3909780525,5032434971,4877684933,5594770352,6173712809,7870239464,9596960174,10237343153,9648583220,12344424776,15372607995,15068422242,14394927493,12537821040,13651667371,11006712649,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9087965282,8206227134,10707792340,5820383306,5643439262,5771454884,6090840527,6217806275,4711272704,4305797176,4691816707,5547714815,5673197494,6569986940,7103539717,8543323220,9977079383,11668379642,11204139345,13145120705
45,Congo; Rep.,131756995.2,151704686.4,166552987.2,172266264.9,185729146.3,196878344.6,219563870,236578003.9,251971821.3,265295753,273666774.7,320064193.2,409926965.7,541976239.2,585366259,767105901.7,754551161.3,765226169.1,878775121.3,1198753297,1705801334,1993522982,2160648803,2097279992,2193589729,2160881982,1849273040,2297765595,2212545367,2389602756,2798754150,2724862286,2933231579,1918970178,1769380403,2115997195,2540699675,2322716604,1949481958,2353906123,3219893817,2794254065,3019985940,3495870613,4648628921,6087004330,7731262789,8343503640,11789245043,9579804345,11897620542
46,Costa Rica,507516617.3,490324267.1,479181227.2,511902566.7,542578822.5,592981156.2,647305631.4,699456618.3,773841499.8,853630203.2,984830159.7,1077152887,1238251658,1528916175,1666544795,1960863536,2412555508,3072427125,3523208934,4035519472,4831447173,2623807083,2606621245,3976453955,4593908762,4796628462,5477895476,5841132961,6063759371,6866402028,7403457319,7162546470,8573610781,9638291624,10557530522,11722356980,11843228352,12828976090,14095921303,15796567138,15946443261,16403603009,16844378718,17517535902,18596365934,19964893792,22526464348,26267157320,29663614223,29239504920,34564395711
47,Cote d'Ivoire,546203767.9,618245905,645284624.1,761047367.5,921063643.6,913094013.1,1019230047,1079184803,1284975298,1362673764,1448633504,1573990596,1848063101,2510552323,3072765041,3893710195,4661478218,6265315227,7901081618,9143004628,10174633035,8432635033,7566794298,6838113640,6841587045,6977696664,9158458238,10087539068,10255211777,9757450377,10796040440,10492662390,11153005025,11045080762,8313627828,11000111579,12139291892,11722200901,12782574028,12556439825,10417006096,10545263560,11486664325,13737489762,15481092869,16363441576,17367306797,19795696265,23414005259,23041807677,22780280530
48,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24782163174,18156461130,10240621326,10902601514,14578386962,22045607399,23341405840,23501676220,25106400616,23044198488,21492679531,23052044813,26524896398,34143409062,41003558916,44821408831,49855078905,59319467681,69911233238,63435948447,60851860677
49,Cuba,0,0,0,0,0,0,0,0,0,0,5692936975,6914575470,8135053335,9987589917,11405820587,13027259032,13789414532,14205988301,17844491331,19584208368,19912651019,20150012488,20953258998,22205449736,24039095368,22921216920,24225993413,25213311971,27458670256,27024876291,28645093044,24317592011,22085593357,22366986630,28447985651,30428273414,25017000000,25364500000,25736700000,28364900000,30565800000,31682300000,33590500000,35901100000,38203400000,42643600000,52742700000,58603800000,62704800000,0,0
50,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154668652,2087496322,2159508648,2161566292,2278930565,2431111804,3091083730,3703460583,4280941089,4565103299,5589698801,5769468849,6913953329,6588738978,7428356892,9253734106,9350212550,8902508791,9555640648,9780443269,9316693766,9678423511,10558381391,13324071623,15822905640,16995655476,18424000903,21835946095,25371874081,25039094267,0
52,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34879966071,25572480861,29954014372,34380681377,41090290299,55257045968,62010597344,57134856184,61846680469,60192136075,56720835331,61842323433,75276073339,91357722713,1.1E+11,1.25E+11,1.43E+11,1.74E+11,2.16E+11,1.9E+11,1.92E+11
53,Denmark,6248946880,6933842099,7812968114,8316692386,9506678763,10678897387,11721248101,12788479692,13196541952,15009384585,16590533333,18515546100,22591052336,29961815026,33346568442,39593296439,43676095947,48854777452,59296231821,69160805930,69709363190,60373978718,58937160962,59204811372,57714597455,61203805066,86365467804,1.07E+11,1.13E+11,1.1E+11,1.36E+11,1.37E+11,1.5E+11,1.41E+11,1.54E+11,1.82E+11,1.84E+11,1.7E+11,1.74E+11,1.74E+11,1.6E+11,1.6E+11,1.74E+11,2.13E+11,2.45E+11,2.58E+11,2.74E+11,3.11E+11,3.41E+11,3.09E+11,3.1E+11
54,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340989541.5,0,373371753,395794554.2,409220103.3,452328105,462422016.6,478058323.6,466048487.5,491689240,497723980.1,494004667.1,502675561.7,514267889.4,536080169.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708843636.9,768873684,847918929.1,982534421.9,1049054417,0
55,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36370369.73,45170369.57,44296295.51,59099998.96,66218517.35,72051850.58,79925924.51,89848146.56,98585183.44,112074072.1,126348145.9,143766658.2,153374077.3,166322225.2,180437033.9,191759261.8,200418509.1,215459267.3,224037021.2,236444440.3,245781477.1,258440730.3,267740736,271166661.9,266151847.2,254855551.1,262833328.7,285218513.5,299255555.6,315659259.3,344366666.7,374422222.2,375748148.1,382781481.5
56,Dominican Republic,672399744,654100160,824099968,940799872,1025599872,888099968,983900032,1034800000,1079100032,1230499968,1485400064,1666400000,1987299968,2344699904,2925600000,3599300096,3951399936,4587100160,4774400000,5498800128,6631000064,7266999808,7964000256,8622000128,10330399744,5044579959,6122128260,5827050853,5374300248,6686592727,7073674722,9724379020,11277694537,12976408000,14511134921,16358496124,18131813001,19593449903,21171235998,21709041189,23996656676,24894907435,26570402719,21268012747,22039232610,34004033804,35952845583,41314666869,45498608625,46597346435,51576859661
